name	day	civil_dawn	sunrise	sunset	civil_dusk
Prague - 2nd week of March	Thursday	05:43	06:15	18:08	18:40
Prague - 2nd week of March	Friday	05:40	06:13	18:10	18:42
Prague - 2nd week of March	Saturday	05:38	06:11	18:11	18:44
Prague - 2nd week of March	Sunday	05:36	06:08	18:13	18:45
Prague - 2nd week of November	Monday	06:36	07:11	16:21	16:56
Prague - 2nd week of November	Tuesday	06:37	07:13	16:20	16:55
Prague - 2nd week of November	Wednesday	06:39	07:15	16:18	16:54
Prague - 2nd week of November	Thursday	06:41	07:16	16:17	16:53
Prague - 2nd week of November	Friday	06:42	07:18	16:16	16:52
Prague - 2nd week of November	Saturday	06:43	07:19	16:15	16:51
Prague - 2nd week of November	Sunday	06:45	07:21	16:14	16:50
Warsaw - 2nd week of February	Monday	06:21	06:56	16:45	17:20
Warsaw - 2nd week of February	Tuesday	06:19	06:54	16:47	17:22
Warsaw - 2nd week of February	Wednesday	06:17	06:53	16:49	17:24
Warsaw - 2nd week of February	Thursday	06:15	06:51	16:51	17:26
Warsaw - 2nd week of February	Friday	06:14	06:49	16:53	17:28
Warsaw - 2nd week of February	Saturday	06:12	06:47	16:54	17:29
Warsaw - 2nd week of February	Sunday	06:10	06:45	16:56	17:31
Warsaw - 2nd week of June	Monday	03:26	04:15	20:57	21:46
Warsaw - 2nd week of June	Tuesday	03:25	04:14	20:58	21:47
Warsaw - 2nd week of June	Wednesday	03:25	04:14	20:58	21:47
Warsaw - 2nd week of June	Thursday	03:25	04:14	20:59	21:48
Warsaw - 2nd week of June	Friday	03:25	04:14	20:59	21:49
Warsaw - 2nd week of June	Saturday	03:25	04:14	21:00	21:49
Warsaw - 2nd week of June	Sunday	03:24	04:14	21:00	21:50
Budapest - 2nd week of July	Monday	04:17	04:57	20:41	21:20
Budapest - 2nd week of July	Tuesday	04:18	04:58	20:40	21:20
Budapest - 2nd week of July	Wednesday	04:19	04:59	20:40	21:19
Budapest - 2nd week of July	Thursday	04:21	05:00	20:39	21:18
Budapest - 2nd week of July	Friday	04:22	05:01	20:38	21:17
Budapest - 2nd week of July	Saturday	04:23	05:01	20:38	21:16
Budapest - 2nd week of July	Sunday	04:24	05:02	20:37	21:15
Budapest - 2nd week of December	Monday	06:45	07:21	15:53	16:28
Budapest - 2nd week of December	Tuesday	06:46	07:22	15:53	16:28
Budapest - 2nd week of December	Wednesday	06:47	07:23	15:53	16:29
Budapest - 2nd week of December	Thursday	06:48	07:24	15:53	16:29
Budapest - 2nd week of December	Friday	06:49	07:25	15:53	16:29
Budapest - 2nd week of December	Saturday	06:49	07:25	15:53	16:29
Budapest - 2nd week of December	Sunday	06:50	07:26	15:54	16:29
Brussels - 2nd week of September	Monday	06:38	07:11	20:07	20:40
Brussels - 2nd week of September	Tuesday	06:39	07:13	20:04	20:38
Brussels - 2nd week of September	Wednesday	06:41	07:14	20:02	20:35
Brussels - 2nd week of September	Thursday	06:42	07:16	20:00	20:33
Brussels - 2nd week of September	Friday	06:44	07:17	19:58	20:31
Brussels - 2nd week of September	Saturday	06:46	07:19	19:55	20:28
Brussels - 2nd week of September	Sunday	06:47	07:20	19:53	20:26
Brussels - 2nd week of January	Monday	08:05	08:43	16:57	17:35
Brussels - 2nd week of January	Tuesday	08:04	08:43	16:58	17:37
Brussels - 2nd week of January	Wednesday	08:04	08:42	17:00	17:38
Brussels - 2nd week of January	Thursday	08:03	08:41	17:01	17:39
Brussels - 2nd week of January	Friday	08:03	08:41	17:02	17:40
Brussels - 2nd week of January	Saturday	08:02	08:40	17:04	17:42
Brussels - 2nd week of January	Sunday	08:01	08:39	17:05	17:43
New York - 2nd week of July	Monday	05:01	05:34	20:29	21:01
New York - 2nd week of July	Tuesday	05:02	05:34	20:28	21:01
New York - 2nd week of July	Wednesday	05:03	05:35	20:28	21:00
New York - 2nd week of July	Thursday	05:03	05:36	20:27	21:00
New York - 2nd week of July	Friday	05:04	05:37	20:27	20:59
New York - 2nd week of July	Saturday	05:05	05:37	20:26	20:58
New York - 2nd week of July	Sunday	05:06	05:38	20:25	20:58
New York - 2nd week of January	Monday	06:49	07:20	16:47	17:17
New York - 2nd week of January	Tuesday	06:49	07:20	16:48	17:18
New York - 2nd week of January	Wednesday	06:49	07:20	16:49	17:19
New York - 2nd week of January	Thursday	06:49	07:19	16:50	17:20
New York - 2nd week of January	Friday	06:49	07:19	16:51	17:21
New York - 2nd week of January	Saturday	06:48	07:19	16:52	17:22
New York - 2nd week of January	Sunday	06:48	07:18	16:53	17:23
Chicago - 2nd week of April	Monday	05:50	06:19	19:26	19:54
Chicago - 2nd week of April	Tuesday	05:48	06:17	19:27	19:56
Chicago - 2nd week of April	Wednesday	05:47	06:15	19:28	19:57
Chicago - 2nd week of April	Thursday	05:45	06:14	19:29	19:58
Chicago - 2nd week of April	Friday	05:43	06:12	19:30	19:59
Chicago - 2nd week of April	Saturday	05:42	06:11	19:31	20:00
Chicago - 2nd week of April	Sunday	05:40	06:09	19:32	20:01
Chicago - 2nd week of October	Monday	06:28	06:56	18:19	18:47
Chicago - 2nd week of October	Tuesday	06:29	06:57	18:17	18:45
Chicago - 2nd week of October	Wednesday	06:30	06:58	18:16	18:44
Chicago - 2nd week of October	Thursday	06:31	06:59	18:14	18:42
Chicago - 2nd week of October	Friday	06:32	07:00	18:13	18:41
Chicago - 2nd week of October	Saturday	06:33	07:01	18:11	18:39
Chicago - 2nd week of October	Sunday	06:35	07:03	18:09	18:37
Los Angeles - 2nd week of July	Monday	05:21	05:50	20:07	20:36
Los Angeles - 2nd week of July	Tuesday	05:21	05:50	20:06	20:35
Los Angeles - 2nd week of July	Wednesday	05:22	05:51	20:06	20:35
Los Angeles - 2nd week of July	Thursday	05:23	05:51	20:06	20:34
Los Angeles - 2nd week of July	Friday	05:23	05:52	20:05	20:34
Los Angeles - 2nd week of July	Saturday	05:24	05:53	20:05	20:33
Los Angeles - 2nd week of July	Sunday	05:25	05:53	20:05	20:33
Los Angeles - 2nd week of January	Monday	06:32	06:59	17:01	17:29
Los Angeles - 2nd week of January	Tuesday	06:32	06:59	17:02	17:30
Los Angeles - 2nd week of January	Wednesday	06:32	06:59	17:03	17:30
Los Angeles - 2nd week of January	Thursday	06:32	06:59	17:04	17:31
Los Angeles - 2nd week of January	Friday	06:32	06:59	17:05	17:32
Los Angeles - 2nd week of January	Saturday	06:32	06:59	17:06	17:33
Los Angeles - 2nd week of January	Sunday	06:31	06:58	17:07	17:34
San Francisco - 2nd week of June	Monday	05:16	05:47	20:32	21:03
San Francisco - 2nd week of June	Tuesday	05:16	05:47	20:32	21:04
San Francisco - 2nd week of June	Wednesday	05:16	05:47	20:33	21:04
San Francisco - 2nd week of June	Thursday	05:16	05:47	20:33	21:04
San Francisco - 2nd week of June	Friday	05:16	05:47	20:34	21:05
San Francisco - 2nd week of June	Saturday	05:16	05:47	20:34	21:05
San Francisco - 2nd week of June	Sunday	05:16	05:47	20:34	21:06
San Francisco - 2nd week of December	Monday	06:46	07:15	16:51	17:20
San Francisco - 2nd week of December	Tuesday	06:46	07:16	16:51	17:20
San Francisco - 2nd week of December	Wednesday	06:47	07:16	16:51	17:21
San Francisco - 2nd week of December	Thursday	06:48	07:17	16:52	17:21
San Francisco - 2nd week of December	Friday	06:48	07:18	16:52	17:21
San Francisco - 2nd week of December	Saturday	06:49	07:18	16:52	17:22
San Francisco - 2nd week of December	Sunday	06:50	07:19	16:53	17:22
Miami - 2nd week of August	Monday	06:29	06:53	19:57	20:21
Miami - 2nd week of August	Tuesday	06:30	06:54	19:56	20:21
Miami - 2nd week of August	Wednesday	06:30	06:54	19:56	20:20
Miami - 2nd week of August	Thursday	06:31	06:55	19:55	20:19
Miami - 2nd week of August	Friday	06:31	06:55	19:54	20:18
Miami - 2nd week of August	Saturday	06:32	06:55	19:53	20:17
Miami - 2nd week of August	Sunday	06:32	06:56	19:52	20:16
Miami - 2nd week of February	Monday	06:34	06:58	18:13	18:36
Miami - 2nd week of February	Tuesday	06:33	06:57	18:14	18:37
Miami - 2nd week of February	Wednesday	06:33	06:56	18:14	18:38
Miami - 2nd week of February	Thursday	06:32	06:55	18:15	18:38
Miami - 2nd week of February	Friday	06:31	06:55	18:15	18:39
Miami - 2nd week of February	Saturday	06:30	06:54	18:16	18:39
Miami - 2nd week of February	Sunday	06:30	06:53	18:17	18:40
Toronto - 2nd week of April	Monday	06:14	06:44	19:55	20:24
Toronto - 2nd week of April	Tuesday	06:12	06:42	19:56	20:26
Toronto - 2nd week of April	Wednesday	06:11	06:40	19:57	20:27
Toronto - 2nd week of April	Thursday	06:09	06:39	19:58	20:28
Toronto - 2nd week of April	Friday	06:07	06:37	20:00	20:29
Toronto - 2nd week of April	Saturday	06:05	06:35	20:01	20:31
Toronto - 2nd week of April	Sunday	06:04	06:34	20:02	20:32
Toronto - 2nd week of November	Monday	06:38	07:09	16:54	17:25
Toronto - 2nd week of November	Tuesday	06:39	07:10	16:53	17:24
Toronto - 2nd week of November	Wednesday	06:40	07:11	16:52	17:23
Toronto - 2nd week of November	Thursday	06:42	07:13	16:52	17:23
Toronto - 2nd week of November	Friday	06:43	07:14	16:51	17:22
Toronto - 2nd week of November	Saturday	06:44	07:15	16:50	17:21
Toronto - 2nd week of November	Sunday	06:45	07:16	16:49	17:20
Vancouver - 3rd week of May	Monday	04:51	05:29	20:49	21:28
Vancouver - 3rd week of May	Tuesday	04:49	05:28	20:50	21:29
Vancouver - 3rd week of May	Wednesday	04:48	05:27	20:52	21:31
Vancouver - 3rd week of May	Thursday	04:46	05:25	20:53	21:32
Vancouver - 3rd week of May	Friday	04:45	05:24	20:54	21:34
Vancouver - 3rd week of May	Saturday	04:43	05:23	20:56	21:35
Vancouver - 3rd week of May	Sunday	04:42	05:22	20:57	21:37
Vancouver - 2nd week of December	Monday	07:20	07:58	16:14	16:51
Vancouver - 2nd week of December	Tuesday	07:21	07:59	16:14	16:51
Vancouver - 2nd week of December	Wednesday	07:22	07:59	16:14	16:51
Vancouver - 2nd week of December	Thursday	07:23	08:00	16:14	16:52
Vancouver - 2nd week of December	Friday	07:24	08:01	16:14	16:52
Vancouver - 2nd week of December	Saturday	07:24	08:02	16:14	16:52
Vancouver - 2nd week of December	Sunday	07:25	08:03	16:15	16:52
Montreal - 2nd week of March	Monday	06:42	07:11	18:57	19:27
Montreal - 2nd week of March	Tuesday	06:40	07:09	18:59	19:28
Montreal - 2nd week of March	Wednesday	06:38	07:07	19:00	19:29
Montreal - 2nd week of March	Thursday	06:36	07:06	19:01	19:31
Montreal - 2nd week of March	Friday	06:34	07:04	19:03	19:32
Montreal - 2nd week of March	Saturday	06:32	07:02	19:04	19:33
Montreal - 2nd week of March	Sunday	06:30	07:00	19:05	19:35
Montreal - 2nd week of October	Monday	06:33	07:02	18:20	18:50
Montreal - 2nd week of October	Tuesday	06:34	07:04	18:18	18:48
Montreal - 2nd week of October	Wednesday	06:35	07:05	18:16	18:46
Montreal - 2nd week of October	Thursday	06:37	07:06	18:15	18:44
Montreal - 2nd week of October	Friday	06:38	07:08	18:13	18:43
Montreal - 2nd week of October	Saturday	06:39	07:09	18:11	18:41
Montreal - 2nd week of October	Sunday	06:40	07:10	18:09	18:39
Boston - 2nd week of June	Monday	04:32	05:07	20:21	20:56
Boston - 2nd week of June	Tuesday	04:32	05:07	20:22	20:57
Boston - 2nd week of June	Wednesday	04:32	05:07	20:22	20:57
Boston - 2nd week of June	Thursday	04:32	05:07	20:23	20:57
Boston - 2nd week of June	Friday	04:32	05:07	20:23	20:58
Boston - 2nd week of June	Saturday	04:32	05:07	20:23	20:58
Boston - 2nd week of June	Sunday	04:32	05:07	20:24	20:59
Boston - 2nd week of January	Monday	06:42	07:13	16:30	17:02
Boston - 2nd week of January	Tuesday	06:41	07:13	16:31	17:03
Boston - 2nd week of January	Wednesday	06:41	07:13	16:32	17:04
Boston - 2nd week of January	Thursday	06:41	07:12	16:33	17:05
Boston - 2nd week of January	Friday	06:41	07:12	16:35	17:06
Boston - 2nd week of January	Saturday	06:40	07:12	16:36	17:07
Boston - 2nd week of January	Sunday	06:40	07:11	16:37	17:08
Denver - 2nd week of July	Monday	05:09	05:41	20:30	21:02
Denver - 2nd week of July	Tuesday	05:09	05:41	20:29	21:01
Denver - 2nd week of July	Wednesday	05:10	05:42	20:29	21:01
Denver - 2nd week of July	Thursday	05:11	05:43	20:28	21:00
Denver - 2nd week of July	Friday	05:12	05:44	20:28	20:59
Denver - 2nd week of July	Saturday	05:13	05:44	20:27	20:59
Denver - 2nd week of July	Sunday	05:13	05:45	20:27	20:58
Denver - 2nd week of February	Monday	06:27	06:55	17:34	18:02
Denver - 2nd week of February	Tuesday	06:26	06:54	17:35	18:03
Denver - 2nd week of February	Wednesday	06:25	06:53	17:36	18:04
Denver - 2nd week of February	Thursday	06:24	06:51	17:37	18:05
Denver - 2nd week of February	Friday	06:23	06:50	17:38	18:06
Denver - 2nd week of February	Saturday	06:21	06:49	17:40	18:07
Denver - 2nd week of February	Sunday	06:20	06:48	17:41	18:08
